size,time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,tabu_sol,sim_sol,quant_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
2,1,0.328042328042328,0.367891788482666,0.5418522357940674,0.2100846767425537,0.0003986358642578125,0.0016841888427734375,0.0008697509765625,9.655952453613281e-05,0.36472511291503906,4.982948303222656e-05,,7.095653842270622e-07,7.095652581057266e-07,28,24,4,55,3,93560,20,53,110634,22322,17074,21,260,1473,abf0c6c6-1679-41f6-86d3-fec91bd523cc
3,1,0.16436251920122888,1.2850050926208496,1.2083373069763184,2.2155494689941406,0.0011296272277832031,0.006325721740722656,0.00436091423034668,0.0005409717559814453,1.2724332809448242,6.508827209472656e-05,,0.01562748347720344,1.0078149834784043,63,54,9,190,5,115780,20,75,132833,12970,17053,21,70,5289,89d2c797-f3ae-4fac-8a4f-a1d75b1c46f2
4,1,0.09974259974259975,1.8633859157562256,2.2185397148132324,6.375889778137207,0.0027513504028320312,0.028501510620117188,0.012396097183227539,0.0015909671783447266,1.8177661895751953,9.679794311523438e-05,,0.02560549912971055,4.803205991883054,112,96,16,482,10,112540,20,72,129561,19521,17021,21,220,4762,84a220cf-d03a-4bdd-8d2e-3c17541cfbeb
5,1,0.06732348111658457,4.257715225219727,3.504937171936035,11.566552639007568,0.0070037841796875,0.0313873291015625,0.1153712272644043,0.005125999450683594,4.098156690597534,0.0001442432403564453,,0.030873973770894736,18.40741925320282,175,150,25,1058,15,153300,20,112,170227,20144,16927,21,1654,13730,2284191d-0974-4376-a5d9-55d2a6508fb8
6,1,0.04856763422500474,5.914719343185425,5.169928312301636,14.59841012954712,0.018659353256225586,0.0565338134765625,0.059455156326293945,0.008533716201782227,5.7703471183776855,0.0002067089080810547,,0.08997790923581306,20.90380839818546,252,216,36,1336,12,157740,20,117,174647,17947,16907,21,152,11662,10a04740-999b-47b2-994a-acadbe2264ea
7,1,0.03663921709034491,9.132827043533325,7.1385178565979,32.26845693588257,0.061290740966796875,0.09183049201965332,0.10465788841247559,0.015237569808959961,8.856416463851929,0.0004703998565673828,,0.1299051440871608,51.25393337115552,343,294,49,2351,16,159260,20,118,176005,23202,16745,21,2253,14796,9aa7c7dd-6305-47ad-a16a-676c600ed315
8,1,0.02860338766379035,12.287067890167236,9.221532344818115,43.54522371292114,0.12297272682189941,0.28318357467651367,0.17478036880493164,0.026981592178344727,11.675857782363892,0.00036144256591796875,,0.965736623468274,78.46917486763414,448,384,64,3920,30,169520,20,128,185999,17117,16479,21,404,21228,548e78d6-9713-47f1-b707-79393a53f650
9,1,0.022940153682203153,14.982990980148315,11.83555269241333,163.55170798301697,0.319378137588501,0.21399664878845215,0.43260788917541504,0.04318547248840332,13.969167232513428,0.0004513263702392578,,1.8000407409795116,86.40224972868883,567,486,81,4082,28,169520,20,128,185967,17377,16447,21,1280,22426,e31f1519-832d-4d05-8963-c61c40c6b646
10,1,0.018802370733701206,19.579702854156494,14.523807048797607,818.8521745204926,0.8135359287261963,0.2962203025817871,0.5675966739654541,0.06447792053222656,17.831280946731567,0.0005435943603515625,,4.583207661537017,126.76189515641661,700,600,100,4384,18,169520,20,128,185891,23989,16371,21,412,20976,1ae202c7-835f-4fec-b75b-dba4e86f5e97
