size,time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,tabu_sol,sim_sol,quant_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
2,1,0.3333333333333333,0.15146994590759277,0.2129223346710205,0.045943260192871094,0.0002696514129638672,0.0005645751953125,0.00047135353088378906,6.818771362304688e-05,0.15001726150512695,2.6226043701171875e-05,,1.1859872728336995e-07,1.1859873438879731e-07,12,12,0,16,2,91560,20,51,108639,11540,17079,21,654,826,2a59ffd2-89fc-4530-bde4-7f100eb8e118
3,1,0.17094017094017094,0.23091816902160645,0.4744248390197754,0.10873079299926758,0.0006237030029296875,0.0025663375854492188,0.0026454925537109375,0.0003521442413330078,0.2245922088623047,3.147125244140625e-05,,3.555428378376746e-07,3.555428058632515e-07,27,27,0,38,2,95680,20,55,112759,17781,17079,21,300,1253,77033785-8891-46f9-9f43-da1883f446dc
4,1,0.10283687943262411,0.47424983978271484,0.841951847076416,0.43151021003723145,0.001149892807006836,0.006844758987426758,0.008229494094848633,0.0011990070343017578,0.45661139488220215,4.1961669921875e-05,,7.109165096608194e-07,7.109163320251355e-07,48,48,0,77,3,83160,20,42,100229,12064,17069,21,192,1066,ef8271ba-205f-48a7-b1a0-c2cc5e94150c
5,1,0.06846846846846846,0.8801355361938477,1.296079158782959,0.5097012519836426,0.002559185028076172,0.03503155708312988,0.024777650833129883,0.003879547119140625,0.8134715557098389,5.602836608886719e-05,,1.1847198777559242e-06,1.6666681076183494,75,75,0,148,4,91800,20,51,108865,18408,17065,21,185,1491,59f26e12-3b6f-4976-9ae8-0bf356a0cf2f
6,1,0.04880581516095535,1.4546940326690674,1.8750863075256348,0.9482076168060303,0.0047838687896728516,0.04729509353637695,0.05001068115234375,0.007593870162963867,1.3442296981811523,7.915496826171875e-05,,1.7769534110811946e-06,3.4285736192803142,108,108,0,215,4,131780,20,91,148830,12825,17050,21,306,3659,72559a00-c778-462b-8108-abf39d67b1c9
7,1,0.0365296803652968,2.0007495880126953,2.535388946533203,1.3063175678253174,0.008390188217163086,0.06590652465820312,0.2007770538330078,0.015072345733642578,1.7096242904663086,8.320808410644531e-05,,0.2500025467464866,11.25000307829167,147,147,0,294,4,134300,20,93,151342,13252,17042,21,249,4436,82db4564-4742-485f-9eb6-7aed6853af5f
8,1,0.028359511343804537,2.7151131629943848,3.3458588123321533,1.7075130939483643,0.03127455711364746,0.22826313972473145,0.13507866859436035,0.020171165466308594,2.2983059883117676,0.00012874603271484375,,0.6666701607658752,17.33333757513867,192,192,0,416,5,139580,20,99,156606,19437,17026,21,83,4859,688362e6-f23f-4f33-8c58-46b7370320f0
9,1,0.022650749923477195,3.6304821968078613,4.251049995422363,2.8112850189208984,0.04062008857727051,0.13325023651123047,0.20370769500732422,0.03433585166931152,3.2161056995391846,0.0001366138458251953,,0.600004441621536,30.40000599676796,243,243,0,706,9,116260,20,75,133255,20769,16995,21,117,5735,5b2f0b95-47b1-4e40-8dcc-559077479a0e
10,1,0.01850613154960981,4.686612129211426,5.282186031341553,3.38429856300354,0.09695243835449219,0.18988847732543945,0.5281641483306885,0.05318427085876465,3.8141837120056152,0.0001556873321533203,,1.0909147758726476,39.09091640907559,300,300,0,771,7,162620,20,122,179603,15207,16983,21,1933,50565,68dd196e-0894-4536-b268-b5357b3a19c0
11,1,0.01540264523689938,5.956108808517456,6.2427427768707275,4.995799779891968,0.22631525993347168,0.2717916965484619,0.6816129684448242,0.07790136337280273,4.692467927932739,0.0002105236053466797,,3.5000069087607244,47.00000897505032,363,363,0,919,7,132700,20,92,149670,20460,16970,21,121,6329,35efa100-ff6d-4d86-9825-8ee66a0237da
