size,time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,tabu_sol,sim_sol,quant_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
12,1,0.013018819283320443,7.9275267124176025,7.536036491394043,12.693940877914429,0.5708813667297363,0.37949347496032715,0.8976287841796875,0.11639165878295898,5.954100608825684,0.0002598762512207031,,1.846162373119796,47.07693347281224,432,432,0,1063,6,128740,20,88,145701,14928,16961,21,158,10857,2021421b-7d86-41bf-a42d-d4dc04b443a1
13,1,0.011148272017837236,10.079422950744629,8.736064910888672,10.699563264846802,1.3081817626953125,0.4937255382537842,1.1507830619812012,0.47315192222595215,6.641707181930542,0.0002770423889160156,,3.857152982589696,83.00001309557962,507,507,0,1448,8,165500,20,124,182405,20948,16905,21,210,11722,834828a9-3e62-47f7-b0af-41d213a17a3b
14,1,0.009653605905735378,14.043422222137451,10.159730434417725,6.918929576873779,3.141263723373413,0.6792078018188477,1.5202085971832275,0.5771439075469971,8.107470273971558,0.0003695487976074219,,7.600011881779437,94.66668199117396,588,588,0,1791,10,157940,20,117,174842,22078,16902,21,355,12003,9e2f00ad-4e4c-4cd3-bf26-3fa3d1705e50
15,1,0.008440487965710518,20.31635618209839,11.58711552619934,11.686967372894287,7.3960652351379395,1.1811418533325195,1.8564047813415527,0.32259178161621094,9.538299322128296,0.0003883838653564453,,9.625013559300442,117.37501816299579,675,675,0,2134,9,155900,20,115,172723,22108,16823,21,429,22395,f40e9fca-8c5b-4a8a-b411-ad038b203fb9
16,1,0.007442416340721425,32.45592021942139,13.261082172393799,57.60128402709961,17.03829598426819,1.103966236114502,2.786623477935791,0.8740286827087402,10.624079465866089,0.00044989585876464844,,9.882368572541509,132.9411965077134,768,768,0,2044,10,168620,20,128,185391,17254,16771,21,173,15565,f1f6491f-3045-4a1d-a269-82d5d3513730
17,1,0.006611420549744147,57.79398465156555,15.14324140548706,15.890727281570435,39.74490690231323,1.7802369594573975,2.9307448863983154,1.0191872119903564,12.28051209449768,0.0005333423614501953,,13.888906671123095,175.22224622007178,867,867,0,2697,15,162100,20,121,178860,17958,16760,21,434,16446,15c2f2e1-9a90-4ca9-81ac-d58497f92901
18,1,0.005912194377693863,117.48266124725342,16.994140625,23.77612066268921,96.48360276222229,2.133357286453247,3.959381341934204,1.2151398658752441,13.643985033035278,0.0006060600280761719,,15.368440848254068,180.8421313133157,972,972,0,2853,10,167300,20,126,184039,17993,16739,21,312,16053,226d9cfe-2b1c-452e-87db-c492cb37a333
19,1,0.005318286474040925,250.43123483657837,19.75090718269348,22.724430561065674,225.56477665901184,2.6041765213012695,4.899558067321777,1.4828813076019287,15.817006349563599,0.0006976127624511719,,25.400022419411016,207.20003068307324,1083,1083,0,3610,21,169520,20,128,186097,23185,16577,21,476,18962,ade19415-b8e9-4c49-b42a-0624aed28d58
20,1,0.004809563525159855,528.0959091186523,21.245604276657104,42.145944356918335,498.9189786911011,3.568037748336792,5.891062498092651,1.7815442085266113,17.85825753211975,0.0008006095886230469,,29.52383444935549,222.95241364788512,1200,1200,0,3426,9,168300,20,127,184920,19018,16620,21,340,16541,4627d2a6-9fe4-44b0-9ee2-eb65334ffa0a
21,1,0.004370482434022525,1181.214923620224,23.6891930103302,39.266031980514526,1146.4574835300446,4.120761394500732,7.039602756500244,2.1174068450927734,21.394412994384766,0.0008935928344726562,,29.727299981905162,260.54548927198346,1323,1323,0,3671,14,168200,20,127,184790,24908,16590,21,358,20341,5dae90cf-fee2-4627-bf6c-57a2500a978a
22,1,0.003988889585030178,2664.145860671997,25.401275873184204,364.9540271759033,2626.547965526581,4.3294243812561035,8.122657537460327,2.3124208450317383,22.7309308052063,0.0009360313415527344,,37.39133485795264,255.21743086375102,1452,1452,0,4001,20,168260,20,127,184782,24269,16522,21,362,20206,2b50169d-c986-4f26-8f5d-456973dfbc4b
