size,time,max_time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,sim_sol,quant_sol,quant_reverse_sol_45,quant_reverse_sol_70,hybrid_sol,greedy_sol,tabu_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
4,1,8,0.116279069767442,0.545835256576538,0.982566833496094,0.159834623336792,0.002209901809692,0.01585578918457,0.019436120986938,0.003391027450562,0.50451397895813,4.83989715576172E-05,4.00000057276931,6.0000005523032,3.99999997987101,2.80000281333923,3.99999997987101,7.99999998028986,3.99999998028985,44,44,0,65,3,97660,20,57,114741,168917,17081,21,3781,11346,ac850c68-d7f2-49a5-b894-63087408fced
4,1,8,0.12677304964539,0.606027364730835,0.91484808921814,0.416463613510132,0.001863956451416,0.027698516845703,0.015697240829468,0.00277853012085,0.557594776153564,4.45842742919922E-05,4.00000106486618,4.00000116341677,4.00000309944153,8.40000605678031,4.00000309944153,10.0000032980211,4.00000357627869,48,48,0,82,3,102820,20,62,119899,16292,17079,21,339,3866,d29eb4af-fa41-42e8-b39d-89d9941f6f37
4,1,8,0.13499245852187,0.850505352020264,0.253663539886475,0.507524251937866,0.002193450927734,0.032971620559692,0.018476009368896,0.00310492515564,0.793393850326538,4.29153442382813E-05,4.00000145873085,4.00000157699181,4.00000232521247,7.20000565052033,4.00000208621793,8.00000224621476,4.00000262260437,52,52,0,91,3,93140,20,52,110212,14498,17072,21,178,1216,677e7f77-3fd3-4f83-8e04-a3271eafacf1
4,1,8,0.124025974025974,0.750191926956177,1.07607626914978,0.325400829315185,0.001936912536621,0.012892007827759,0.014684438705444,0.002486944198608,0.717893123626709,4.79221343994141E-05,2.40000147893582,4.80000179414133,2.80000257492065,3.20000243186951,2.40000259876251,10.0000026226044,2.40000259876251,56,56,0,113,4,104660,20,64,121738,16376,17078,21,372,3223,99fb9b90-ed94-4827-ac59-881cb0e0023c
4,1,8,0.129220779220779,0.944382667541504,1.09596705436707,0.43996787071228,0.002230167388916,0.017976045608521,0.017931699752808,0.002866983413696,0.902995347976685,5.50746917724609E-05,4.40000165601293,4.80000195166535,4.40000253978919,6.80000555515289,4.40000247955322,10.8000029325485,4.4000027179718,56,56,0,108,4,105300,20,64,122377,14531,17077,21,77,3129,d9f822ca-54e3-4b20-aa8b-4a8da37a4d70
4,1,8,0.124675324675325,0.783731698989868,1.04257655143738,0.385773181915283,0.002254486083984,0.016464710235596,0.017401933670044,0.002775430679321,0.744596719741821,4.14848327636719E-05,2.00000145922584,4.80000179398422,2.80000281333923,6.40000240086976,2.0000025833412,10.4000027979179,2.0000025833412,56,56,0,99,3,101220,20,60,118300,18989,17080,21,430,2941,9d5bd864-a4cb-4678-b6b4-ba47feb7e063
4,1,9,0.129220779220779,0.77772855758667,1.03800463676453,0.513163805007935,0.002693176269531,0.01593279838562,0.019365549087524,0.003262758255005,0.736097574234009,4.62532043457031E-05,2.80000169574743,5.60000195182247,3.20000243186951,6.08000818951574,2.80000245571136,11.2000024318695,2.80000245571136,56,56,0,105,3,95540,20,55,112609,22537,17069,21,264,2405,f0061d38-4399-40c5-91b6-982baa5b6cf0
4,1,8,0.122598870056497,0.878159284591675,1.14096999168396,1.10934853553772,0.002387762069702,0.015723705291748,0.017693042755127,0.003182411193848,0.838779449462891,4.72068786621094E-05,2.00000151801845,2.0000015968591,2.00000300047206,4.8000054359436,2.00000286102295,6.00000333786011,2.00000309944153,60,56,4,121,4,109540,20,69,126612,16178,17072,21,347,6916,b93f4b21-b07b-4276-baa7-0f879a035572
4,1,8,0.123728813559322,0.86434268951416,1.13926839828491,0.756133556365967,0.002208471298218,0.015759468078613,0.033947944641113,0.002896308898926,0.809137105941772,5.26905059814453E-05,2.00000153772854,4.00000153772864,2.00000238418579,3.20000195503235,2.00000238418579,8.00000286102292,2.00000262260437,60,56,4,128,4,108220,20,67,125287,15934,17067,21,209,4022,6c85b1c4-f82a-4f79-a921-d26390be3c04
4,1,8,0.127118644067797,1.01878309249878,1.15442276000977,0.925377368927002,0.002341985702515,0.015256404876709,0.017059087753296,0.002666473388672,0.981077909469604,5.45978546142578E-05,2.80000191222103,5.20000226684685,3.20000195503235,6.00000643730164,2.8000018006916,8.00000232521245,2.8000020980835,60,60,0,130,4,105980,20,65,123059,18098,17079,21,458,3914,a17ff299-d146-41e3-91d2-922948ec6388
