size,time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,tabu_sol,sim_sol,quant_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
2,1,0.3142857142857143,39.67902183532715,0.7003154754638672,0.48250484466552734,0.0005207061767578125,0.002071857452392578,0.0009615421295166016,0.00010824203491210938,39.67523813247681,5.054473876953125e-05,,9.85507554673859e-07,0.024692382952292036,36,28,8,88,4,101220,20,60,118293,12386,17073,21,279,2128,44093862-6871-48e8-89b8-bbd4c5401d36
3,1,0.15462962962962962,60.08665943145752,1.3745362758636475,3.7191104888916016,0.0015354156494140625,0.007703542709350586,0.011712312698364258,0.0005674362182617188,60.06488251686096,8.20159912109375e-05,,0.005862745433148575,4.035159916087196,81,63,18,262,6,119100,20,78,136151,18901,17051,21,79,3597,971115b7-d705-4c34-b9a5-fb5aea2251d3
4,1,0.09285159285159285,102.86322498321533,2.488975763320923,9.747558355331421,0.004476785659790039,0.01875925064086914,0.022365808486938477,0.0018362998962402344,102.81533026695251,0.00012922286987304688,,0.02048766725124551,14.816008830143733,144,112,32,716,12,153940,20,113,170926,21023,16986,21,110,5282,25911401-5a57-4707-be1e-1c4904f86173
5,1,0.0623015873015873,122.20554280281067,3.9959449768066406,31.581011056900024,0.012871026992797852,0.051596641540527344,0.03315424919128418,0.0041048526763916016,122.1029942035675,0.00018668174743652344,,0.029591355670163466,26.05557148101333,225,175,50,1505,17,158740,20,118,175596,24884,16856,21,399,14056,26a45108-73d4-428d-ad86-5cea738fe788
6,1,0.04483430799220273,192.99075555801392,5.7204954624176025,40.08630704879761,0.03543376922607422,0.06661796569824219,0.06504487991333008,0.009430170059204102,192.8128297328949,0.0002760887145996094,,0.0492862375410823,44.82655731948795,324,252,72,3025,26,166780,20,126,183435,17732,16655,21,502,14333,7d068428-f397-4e57-a0ab-464e84cd1816
7,1,0.03383838383838384,219.57080173492432,7.85978102684021,69.0003170967102,0.09618973731994629,0.10612082481384277,0.24790430068969727,0.019229650497436523,219.09904670715332,0.0003676414489746094,,2.6289389689027303,66.53183836219847,441,343,98,4191,32,169520,20,128,185953,23566,16433,21,431,21563,dfcccd05-af01-49dd-be8d-7886ceac96fb
